,Titel,Text,Form,Ort,Datum,Lemmata,Female_coded_words,Male_coded_words,Number_Female_coded_words,Number_Male_coded_words,LemmataSpaCy,CodedLemmata_spaCy,Female_coded_words_spaCy,Male_coded_words_spaCy,Number_Female_coded_words_spaCy,Number_Male_coded_words_spaCy
0,Referent Data Engineering (m/w/d)," TenneT ist ein führender europäischer Netzbetreiber, der sich für eine sichere und zuverlässige Stromversorgung einsetzt - 24 Stunden am Tag, 365 Tage im Jahr. Wir gestalten die Energiewende für eine nachhaltige Energiezukunft. Als erster grenzüberschreitender übertragungsnetzbetreiber planen, bauen und betreiben wir ein fast 25.000 Kilometer langes Hoch- und Höchstspannungsnetz in den Niederlanden und Deutschland und sind einer der größten Investoren in nationale und internationale Stromnetze, an Land und auf See. Jeden Tag geben unsere 7.400 Mitarbeiter ihr Bestes und sorgen mit Verantwortung, Mut und Vernetzung dafür, dass sich mehr als 43 Millionen Endverbraucher auf eine stabile Stromversorgung verlassen können. Als Referent Data Engineering (m/w/d) bist du nicht nur für die LPG-weite Umsetzung und Einhaltung der Datenmanagement Standards verantwortlich, sondern treibst auch deren Weiterentwicklung voran. Ein abgeschlossenes Studium (FH/Uni) der Wirtschaftswissenschaften, Ingenieurswissenschaften oder der (Wirtschafts-)Informatik bzw. eine vergleichbare Qualifikation ist die Basis deines Erfolgs Du hast Berufserfahrung in der Visualisierung und Beschreibung von Analyseberichten und Reports und kannst dabei auch zeigen, wie Business Prozesse und Aufgaben effektiver und effizienter davon profitieren  Vorzugsweise konntest du bereits Erfahrungen in Groß- und/oder Bauprojekten sowie im Projektmanagement sammeln Der sichere Umgang mit PowerBI, Python und den gängigen MS-Office Programmen  ist für dich selbstverständlich Ausgeprägte Teamfähigkeit und hohe Durchsetzungsfähigkeit sowie eine selbstständige, gewissenhafte und innovative Arbeitsweise runden dein Profil ab Wir sind familienfreundlich und lebensnah  Bei uns stehen die Menschen im Mittelpunkt: Durch unsere externen Partner erhältst du Unterstützungsangebote für verschiedene Lebensphasen - zum Beispiel in Fragen rund um Kinderbetreuung, Haushaltsdienstleistungen oder Pflege und Beruf  Eine 37-Stunden-Woche mit flexiblen Arbeitszeiten, Gleitzeitkonto, Home-Office-Option sowie 30 Tage Urlaub im Jahr (+ freie Tage an Silvester und Heiligabend) ermöglichen eine individuelle Arbeitsgestaltung Gesundheit - Deine Basis  Energie tanken, Gesundheit fördern - nicht mit schönen Worten, sondern konkreten Leistungen: Es erwarten Dich diverse Kursangebote im Unternehmen, Kostenbeteiligung für Sporteinrichtungen, Beratungsangebote und Gesundheitschecks durch Betriebsärzte vor Ort  Unsere Betriebsrestaurants tragen zu einer gesunden und abwechslungsreichen Ernährung bei Modernes Arbeitsumfeld  Arbeitsumfeld im Campus-Charakter: Moderne Arbeitsmittel und ergonomische Arbeitsplätze sowie ein Open-Office-Konzept erleichtern Dir die teamübergreifende Zusammenarbeit vor Ort  Um auch im Homeoffice ein gesundes Arbeitsumfeld zu ermöglichen, beteiligen wir uns finanziell an Deiner Büroausstattung Attraktive Vergütung &amp; Sozialleistungen  Attraktive Vergütung: Das Gehalt basiert auf einem Tarifvertrag und enthält ein Weihnachtsgeld, 14. Monatsgehalt, diverse Bonusleistungen, vermögenswirksame Leistungen und eine betriebliche Altersvorsorge  Ein JobRad im Entgeltumwandlungsmodell kann als Alternative zum Pendeln zur Arbeitsstätte sowie als Manahme zur Gesundheitsförderung genutzt werden Persönliche Entwicklung  Unser internationales, innovatives Umfeld bietet Dir umfassende Möglichkeiten zur Vernetzung und Weiterbildung  Job mit Sinn und Zukunft: TenneT ist mit seiner gesellschaftlichen Aufgabe ein sicherer und sinnstiftender Arbeitgeber. Bringe Deine Ideen und Kreativität eigenverantwortlich ein und gestalte mit uns das Jahrhundertprojekt Energiewende!",MWD,Bayreuth,Ende März,"{'female-coded': ['FREUNDLICH', 'GEWISSENHAFT', 'KIND', 'KREATIV', 'ZUVERLÄSSIG'], 'male-coded': ['AKTIV', 'INDIVIDUELL']}","['FREUNDLICH', 'GEWISSENHAFT', 'KIND', 'KREATIV', 'ZUVERLÄSSIG']","['AKTIV', 'INDIVIDUELL']",5,2,"[' ', 'TenneT', 'sein', 'ein', 'führend', 'europäisch', 'Netzbetreiber', '--', 'der', 'sich', 'für', 'ein', 'sicher', 'und', 'zuverlässig', 'Stromversorgung', 'einsetzen', '--', '24', 'Stunde', 'an', 'Tag', '--', '365', 'Tag', 'in', 'Jahr', '--', 'wir', 'gestalten', 'der', 'Energiewende', 'für', 'ein', 'nachhaltig', 'Energiezukunft', '--', 'als', 'erster', 'Grenzüberschreitender', 'übertragungsnetzbetreiber', 'planen', '--', 'bauen', 'und', 'betreiben', 'wir', 'ein', 'fast', '25.000', 'Kilometer', 'lang', 'Hoch', 'und', 'Höchstspannungsnetz', 'in', 'der', 'Niederlanden', 'und', 'Deutschland', 'und', 'sein', 'einer', 'der', 'groß', 'Investor', 'in', 'national', 'und', 'international', 'Stromnetze', '--', 'an', 'Land', 'und', 'auf', 'See', '--', 'jeder', 'Tag', 'geben', 'unser', '7.400', 'Mitarbeiter', 'ihr', 'Best', 'und', 'sorgen', 'mit', 'Verantwortung', '--', 'Mut', 'und', 'Vernetzung', 'dafür', '--', 'dass', 'sich', 'mehr', 'als', '43', 'Million', 'Endverbraucher', 'auf', 'ein', 'stabil', 'Stromversorgung', 'verlassen', 'können', '--', 'als', 'Referent', 'Data', 'Engineering', '--', 'm', '--', 'w', '--', 'd', '--', 'sein', 'du', 'nicht', 'nur', 'für', 'der', 'LPG-weit', 'Umsetzung', 'und', 'Einhaltung', 'der', 'Datenmanagement', 'Standard', 'verantwortlich', '--', 'sondern', 'treibst', 'auch', 'der', 'Weiterentwicklung', 'voran', '--', 'ein', 'abgeschlossen', 'Studium', '--', 'FH', '--', 'Uni', '--', 'der', 'Wirtschaftswissenschaft', '--', 'Ingenieurswissenschafte', 'oder', 'der', '--', 'Wirtschafts-)Informatik', 'bzw.', 'ein', 'vergleichbar', 'Qualifikation', 'sein', 'der', 'Basis', 'dein', 'Erfolg', 'du', 'haben', 'Berufserfahrung', 'in', 'der', 'Visualisierung', 'und', 'Beschreibung', 'von', 'Analysebericht', 'und', 'Report', 'und', 'kannst', 'dabei', 'auch', 'zeigen', '--', 'wie', 'Business', 'Prozeß', 'und', 'Aufgabe', 'effektiv', 'und', 'effizient', 'davon', 'profitieren', '\xa0 ', 'Vorzugsweise', 'konntesen', 'du', 'bereits', 'Erfahrung', 'in', 'Groß', 'und', '--', 'oder', 'Bauprojekten', 'sowie', 'in', 'Projektmanagement', 'sammeln', 'der', 'sicher', 'Umgang', 'mit', 'PowerBI', '--', 'Python', 'und', 'der', 'gängig', 'MS-Office', 'Programm', '\xa0', 'sein', 'für', 'dich', 'selbstverständlich', 'Ausgeprägt', 'Teamfähigkeit', 'und', 'hoch', 'Durchsetzungsfähigkeit', 'sowie', 'ein', 'selbstständig', '--', 'gewissenhaft', 'und', 'innovativ', 'Arbeitsweise', 'runden', 'dein', 'Profil', 'ab', 'wir', 'sein', 'familienfreundlich', 'und', 'Lebensnah', ' ', 'bei', 'uns', 'stehen', 'der', 'Mensch', 'in', 'Mittelpunkt', '--', 'durch', 'unser', 'extern', 'Partner', 'erhältst', 'du', 'Unterstützungsangebote', 'für', 'verschieden', 'Lebensphase', '--', 'zu', 'Beispiel', 'in', 'Frage', 'rund', 'um', 'Kinderbetreuung', '--', 'Haushaltsdienstleistunge', 'oder', 'Pflege', 'und', 'Beruf', ' ', 'ein', '37-Stunden-Woche', 'mit', 'flexibl', 'Arbeitszeit', '--', 'Gleitzeitkonto', '--', 'Home-Office-Option', 'sowie', '30', 'Tag', 'Urlaub', 'in', 'Jahr', '--', '+', 'frei', 'Tag', 'an', 'Silvester', 'und', 'Heiligabend', '--', 'ermöglichen', 'ein', 'individuell', 'Arbeitsgestaltung', 'Gesundheit', '--', 'Deine', 'Basis', ' ', 'Energie', 'tanken', '--', 'Gesundheit', 'fördern', '--', 'nicht', 'mit', 'schön', 'Wort', '--', 'sondern', 'konkret', 'Leistung', '--', 'es', 'erwarten', 'dich', 'diverser', 'Kursangebot', 'in', 'Unternehmen', '--', 'Kostenbeteiligung', 'für', 'sporteinrichtungen', '--', 'Beratungsangebot', 'und', 'Gesundheitscheck', 'durch', 'Betriebsärzt', 'vor', 'Ort', ' ', 'unser', 'Betriebsrestaurant', 'tragen', 'zu', 'ein', 'gesund', 'und', 'abwechslungsreich', 'Ernährung', 'bei', 'Moderne', 'Arbeitsumfeld', ' ', 'Arbeitsumfeld', 'in', 'Campus-Charakter', '--', 'modern', 'Arbeitsmittel', 'und', 'ergonomisch', 'Arbeitsplatz', 'sowie', 'ein', 'Open-Office-Konzept', 'erleichtern', 'dir', 'der', 'teamübergreifend', 'Zusammenarbeit', 'vor', 'Ort', ' ', 'um', 'auch', 'in', 'Homeoffice', 'ein', 'gesund', 'Arbeitsumfeld', 'zu', 'ermöglichen', '--', 'beteiligen', 'wir', 'sich', 'finanziell', 'an', 'Deiner', 'Büroausstattung', 'attraktiv', 'Vergütung', '&', 'amp', '--', 'Sozialleistung', ' ', 'attraktiv', 'Vergütung', '--', 'der', 'Gehalt', 'basieren', 'auf', 'ein', 'Tarifvertrag', 'und', 'enthalten', 'ein', 'Weihnachtsgeld', '--', '14.', 'Monatsgehalt', '--', 'diverser', 'Bonusleistung', '--', 'vermögenswirksam', 'Leistung', 'und', 'ein', 'betrieblich', 'Altersvorsorge', ' ', 'ein', 'JobRad', 'in', 'Entgeltumwandlungsmodell', 'können', 'als', 'Alternative', 'zu', 'Pendel', 'zu', 'Arbeitsstätte', 'sowie', 'als', 'Manahme', 'zu', 'Gesundheitsförderung', 'nutzen', 'werden', 'persönlich', 'Entwicklung', ' ', 'unser', 'international', '--', 'innovativ', 'Umfeld', 'bieten', 'dir', 'umfassend', 'Möglichkeit', 'zu', 'Vernetzung', 'und', 'Weiterbildung', ' ', 'Job', 'mit', 'Sinn', 'und', 'Zukunft', '--', 'TenneT', 'sein', 'mit', 'sein', 'gesellschaftlich', 'Aufgabe', 'ein', 'sicher', 'und', 'sinnstiftend', 'Arbeitgeber', '--', 'Bring', 'Deine', 'Idee', 'und', 'Kreativität', 'eigenverantwortlich', 'ein', 'und', 'gestalen', 'mit', 'uns', 'der', 'Jahrhundertprojekt', 'Energiewende', '--']","{'female-coded': ['GEWISSENHAFT', 'ZUVERLÄSSIG'], 'male-coded': ['INDIVIDUELL']}","['GEWISSENHAFT', 'ZUVERLÄSSIG']",['INDIVIDUELL'],2,1
1,Marketingreferent (m/w/d)," Tradition und Fortschritt - das ist Motor-Nützel. Seit über 90 Jahren kümmern wir uns mit Leidenschaft ums Automobil. Aus einer kleinen, familiengeführten Motorradwerkstatt gewachsen, ist Motor-Nützel heute einer der größten Autohändler in Nordbayern. Planung und Umsetzung aller Marketingaktionen in Zusammenarbeit mit dem jeweiligen Markenverantwortlichen für die gesamte Unternehmensgruppe zur Steigerung von Bekanntheitsgrad, Image, Kundeneroberung und Kundenbindung Bespielung aller Kommunikationskanäle (Anzeigen, Mailings, Funk, E-Mail-Newsletter, Social Media, Google Ads etc.) sowie Content-Erstellung unter Berücksichtigung unserer Ziele und Strategien als auch der Herstellervorgaben sowie Durchführung der Marketingerfolgskontrolle und Reports Planung, Koordination und Umsetzung von Events (Fahrzeugpräsentationen etc.) Unterstützung in der Weiterentwicklung von Datenmanagement-Prozessen und Workflows in der Zusammenarbeit zwischen Marketing und CRM sowie Lead Management Systemen Aktives regionales Networking als Botschafter der Marke Motor-Nützel sowie unserer Fahrzeugmarken, Verfolgen von Trends und Innovationen, Wettbewerbsbeobachtung Kaufmännische Ausbildung im Automobilhandel oder betriebswirtschaftliches Studium mit dem Schwerpunkt Marketing / Kommunikation und erste Berufserfahrung im Dienstleistungssektor Große Affinität zu unseren Produkten, gute Allgemeinbildung und kaufmännisches Verständnis Praktische Erfahrung in Grafikprogrammen (InDesign, Photoshop), CMS-Systemen, Facebook-Werbeanzeigenmanager und Google Ads sowie CRM-Systemen wünschenswert Guter Schreibstil und Gespür für anspruchsvolles und kreatives Design Selbstständiges, zuverlässiges und präzises Arbeiten mit sehr gutem Zeit- und Selbstmanagement, Organisationstalent, Durchsetzungsstärke und Überzeugungskraft Positive Ausstrahlung und Freude an abteilungsübergreifender Zusammenarbeit und Arbeit im Team Führerschein Klasse B Sonderzuwendungen in Form einer freiwilligen betrieblichen Sonderzahlung Betrieblich geförderte Altersvorsorge und Berufsunfähigkeitsversicherung Rabatte für Mitarbeiter und Angehörige ersten Grades in den Bereichen Verkauf und Service Corporate Benefits Jubiläumszuwendungen Mitarbeiterevents Betriebsmedizinischen Betreuung Motor-Nützel Akademie Bike Leasing",MWD,Bayreuth,Ende März,"{'female-coded': ['KREATIV', 'ZUVERLÄSSIG'], 'male-coded': ['AKTIV']}","['KREATIV', 'ZUVERLÄSSIG']",['AKTIV'],2,1,"[' ', 'Tradition', 'und', 'Fortschritt', '--', 'der', 'sein', 'Motor-Nützel', '--', 'seit', 'über', '90', 'Jahr', 'kümmern', 'wir', 'sich', 'mit', 'Leidenschaft', 'um', 'Automobil', '--', 'aus', 'ein', 'klein', '--', 'familiengeführt', 'Motorradwerkstatt', 'wachsen', '--', 'sein', 'Motor-Nützel', 'heute', 'einer', 'der', 'groß', 'Autohändler', 'in', 'Nordbayern', '--', 'Planung', 'und', 'Umsetzung', 'aller', 'Marketingaktion', 'in', 'Zusammenarbeit', 'mit', 'der', 'jeweilig', 'Markenverantwortlichen', 'für', 'der', 'gesamt', 'Unternehmensgruppe', 'zu', 'Steigerung', 'von', 'Bekanntheitsgrad', '--', 'Image', '--', 'Kundeneroberung', 'und', 'Kundenbindung', 'Bespielung', 'aller', 'Kommunikationskanal', '--', 'Anzeige', '--', 'Mailing', '--', 'Funk', '--', 'E-Mail-Newsletter', '--', 'Social', 'Media', '--', 'Google', 'Ads', 'etc.', '--', 'sowie', 'Content-Erstellung', 'unter', 'Berücksichtigung', 'unser', 'Ziel', 'und', 'Strategie', 'als', 'auch', 'der', 'Herstellervorgaben', 'sowie', 'Durchführung', 'der', 'Marketingerfolgskontrolle', 'und', 'Report', 'Planung', '--', 'Koordination', 'und', 'Umsetzung', 'von', 'Event', '--', 'Fahrzeugpräsentation', 'etc.', '--', 'Unterstützung', 'in', 'der', 'Weiterentwicklung', 'von', 'Datenmanagement-Prozesse', 'und', 'Workflow', 'in', 'der', 'Zusammenarbeit', 'zwischen', 'Marketing', 'und', 'CRM', 'sowie', 'Lead', 'Management', 'System', 'Aktives', 'regional', 'Networking', 'als', 'Botschafter', 'der', 'Marke', 'Motor-Nützel', 'sowie', 'unser', 'Fahrzeugmarke', '--', 'Verfolg', 'von', 'Trend', 'und', 'Innovation', '--', 'Wettbewerbsbeobachtung', 'Kaufmännische', 'Ausbildung', 'in', 'Automobilhandel', 'oder', 'betriebswirtschaftlich', 'Studium', 'mit', 'der', 'Schwerpunkt', 'Marketing', '--', 'Kommunikation', 'und', 'erster', 'Berufserfahrung', 'in', 'Dienstleistungssektor', 'groß', 'Affinität', 'zu', 'unser', 'Produkt', '--', 'gut', 'Allgemeinbildung', 'und', 'kaufmännisch', 'Verständnis', 'Praktisch', 'Erfahrung', 'in', 'Grafikprogramm', '--', 'InDesign', '--', 'Photoshop', '--', '--', 'CMS-Systeme', '--', 'Facebook-Werbeanzeigenmanager', 'und', 'Google', 'Ads', 'sowie', 'CRM-Systeme', 'wünschenswert', 'gut', 'Schreibstil', 'und', 'Gespür', 'für', 'anspruchsvolles', 'und', 'kreativ', 'Design', 'Selbstständig', '--', 'zuverlässig', 'und', 'präzis', 'Arbeit', 'mit', 'sehr', 'gut', 'Zeit', 'und', 'Selbstmanagement', '--', 'Organisationstalent', '--', 'Durchsetzungsstärke', 'und', 'Überzeugungskraft', 'positiv', 'Ausstrahlung', 'und', 'Freude', 'an', 'abteilungsübergreifend', 'Zusammenarbeit', 'und', 'Arbeit', 'in', 'Team', 'Führerschein', 'Klasse', 'B', 'Sonderzuwendunge', 'in', 'Form', 'ein', 'freiwillig', 'betrieblich', 'Sonderzahlung', 'betrieblich', 'gefördert', 'Altersvorsorge', 'und', 'Berufsunfähigkeitsversicherung', 'Rabatt', 'für', 'Mitarbeiter', 'und', 'angehörige', 'erster', 'Grad', 'in', 'der', 'Bereich', 'Verkauf', 'und', 'Service', 'Corporate', 'Benefits', 'Jubiläumszuwendung', 'Mitarbeiterevent', 'betriebsmedizinischen', 'Betreuung', 'Motor-Nützel', 'Akademie', 'Bike', 'Leasing']","{'female-coded': ['KREATIV', 'ZUVERLÄSSIG']}","['KREATIV', 'ZUVERLÄSSIG']",[],2,0
2,Vertriebsingenieur Laseranlagen (m/w/d) für das Gebiet Deutschland Mitte (Thüringen / Sachsen / Nordbayern)," ACSYS Lasertechnik GmbH Zentrale Kornwestheim | Produktion und Entwicklung Mittweida eine spannende Vertriebsaufgabe im Gebiet Deutschland Mitte sehr gute Entwicklungsmöglichkeiten in einem modernen Unternehmen eine Tätigkeit in einem technisch anspruchsvollen Umfeld Berufserfahrung im Verkauf von Investitionsgütern oder in einer verkaufsunterstützenden Funktion und idealerweise eine technische Ausbildung Technisches Know-How für den Verkauf anspruchsvoller Systemlösungen Spaß an der Gestaltung langfristiger Kundenbeziehungen, am Beraten und Verkaufen Technische Affinität und digitale Fitness Kommunikationsstärke, Teamfähigkeit und Kreativität Ihr Wohnort ist im Vertriebsgebiet verortet Ein zukunftssicheres, unbefristetes Arbeitsverhältnis Individuelle Einarbeitung mit persönlichem Ansprechpartner und aktiver Einbindung in das Unternehmen Möglichkeit ein Dienstrad zu leasen (JobRad, BikeLeasing) / Zuschuss vom Arbeitgeber Vermögenswirksame Leistungen Viel Flexibilität bei der Gestaltung Ihrer Arbeitsbedingungen (flexible Arbeitszeiten, hybrides Arbeiten) Viel Freiraum zur Weiterentwicklung und Mitgestaltung in einem freundlichen und kollegialen Arbeitsumfeld",MWD,Bayreuth,Ende März,"{'female-coded': ['FREUNDLICH', 'KREATIV', 'UNTERSTÜTZEND'], 'male-coded': ['AKTIV', 'INDIVIDUELL']}","['FREUNDLICH', 'KREATIV', 'UNTERSTÜTZEND']","['AKTIV', 'INDIVIDUELL']",3,2,"[' ', 'ACSYS', 'Lasertechnik', 'GmbH', 'Zentrale', 'Kornwestheim', '|', 'Produktion', 'und', 'Entwicklung', 'Mittweida', 'ein', 'spannend', 'Vertriebsaufgabe', 'in', 'Gebiet', 'Deutschland', 'Mitte', 'sehr', 'gut', 'Entwicklungsmöglichkeit', 'in', 'ein', 'modern', 'Unternehmen', 'ein', 'Tätigkeit', 'in', 'ein', 'technisch', 'anspruchsvoll', 'Umfeld', 'Berufserfahrung', 'in', 'Verkauf', 'von', 'Investitionsgut', 'oder', 'in', 'ein', 'verkaufsunterstützend', 'Funktion', 'und', 'idealerweise', 'ein', 'technisch', 'Ausbildung', 'Technisches', 'Know-How', 'für', 'der', 'Verkauf', 'anspruchsvoll', 'Systemlösung', 'Spaß', 'an', 'der', 'Gestaltung', 'langfristig', 'Kundenbeziehung', '--', 'an', 'Berat', 'und', 'Verkauf', 'technisch', 'Affinität', 'und', 'digital', 'Fitness', 'Kommunikationsstärk', '--', 'Teamfähigkeit', 'und', 'Kreativität', 'ihr', 'Wohnort', 'sein', 'in', 'Vertriebsgebiet', 'verorten', 'ein', 'zukunftssicherer', '--', '\xa0', 'unbefristet', '\xa0', 'Arbeitsverhältnis', 'individuell', 'Einarbeitung', 'mit', 'persönlich', 'Ansprechpartner', 'und', 'aktiv', 'Einbindung', 'in', 'der', 'Unternehmen', 'Möglichkeit', 'ein', 'Dienstrad', 'zu', 'leasen', '--', 'JobRad', '--', 'BikeLeasing', '--', '--', 'Zuschuss', 'von', 'Arbeitgeber', 'vermögenswirksam', 'Leistung', 'viel', 'Flexibilität', 'bei', 'der', 'Gestaltung', 'ihr', 'Arbeitsbedingung', '--', 'flexibel', 'Arbeitszeit', '--', 'hybrid', 'arbeiten', '--', 'viel', 'Freiraum', 'zu', 'Weiterentwicklung', 'und', 'Mitgestaltung', 'in', 'ein', 'freundlich', 'und', 'kollegial', 'Arbeitsumfeld']","{'female-coded': ['FREUNDLICH'], 'male-coded': ['AKTIV', 'INDIVIDUELL']}",['FREUNDLICH'],"['AKTIV', 'INDIVIDUELL']",1,2
